,productgroup,ingredient,strength,dosage,route,mdrunittype,weightedaverageamps,acaful,packagesize,ndc,arated,multipliergreaterthan175percento,year,month
0,7975,OLANZAPINE/FLUOXETINE HYDROCHLORIDE ,3MG-25MG  ,CAPSULE   ,ORAL,CAP,2.510728,7.2346699999999995,30.0,2323030,Yes,Y,2017,2
1,4792,OLANZAPINE/FLUOXETINE HYDROCHLORIDE ,6MG-25MG  ,CAPSULE   ,ORAL,CAP,2.931579,8.7452,30.0,2323130,Yes,Y,2017,2
2,4793,OLANZAPINE/FLUOXETINE HYDROCHLORIDE ,6MG-50MG  ,CAPSULE   ,ORAL,CAP,3.3048330000000004,9.74267,30.0,2323330,Yes,Y,2017,2
3,4795,OLANZAPINE/FLUOXETINE HYDROCHLORIDE ,12MG-50MG ,CAPSULE   ,ORAL,CAP,6.012357,12.7434,30.0,2323430,Yes,Y,2017,2
4,5028,DULOXETINE HYDROCHLORIDE,20 MG ,CAPSULE DR,ORAL,CAP,0.262253,0.47825,60.0,2323560,Yes,Y,2017,2
5,5029,DULOXETINE HYDROCHLORIDE,30 MG ,CAPSULE DR,ORAL,CAP,0.257125,0.44996899999999995,30.0,2324030,Yes,N,2017,2
6,5029,DULOXETINE HYDROCHLORIDE,30 MG ,CAPSULE DR,ORAL,CAP,0.257125,0.44996899999999995,90.0,2324090,Yes,N,2017,2
7,5030,DULOXETINE HYDROCHLORIDE,60 MG ,CAPSULE DR,ORAL,CAP,0.33881999999999995,0.592935,1000.0,2327004,Yes,N,2017,2
8,5030,DULOXETINE HYDROCHLORIDE,60 MG ,CAPSULE DR,ORAL,CAP,0.33881999999999995,0.592935,30.0,2327030,Yes,N,2017,2
9,3231,OLANZAPINE  ,2.5MG ,TABLET,ORAL,TAB,0.094943,0.16615,30.0,2411230,Yes,N,2017,2
10,3234,OLANZAPINE  ,5MG   ,TABLET,ORAL,TAB,0.13139800000000001,0.22994699999999998,30.0,2411530,Yes,N,2017,2
11,3236,OLANZAPINE  ,7.5MG ,TABLET,ORAL,TAB,0.11363399999999999,0.19885999999999998,30.0,2411630,Yes,N,2017,2
12,3227,OLANZAPINE  ,10MG  ,TABLET,ORAL,TAB,0.22233000000000003,0.38907800000000003,30.0,2411730,Yes,N,2017,2
13,7064,RALOXIFENE HYDROCHLORIDE,60MG  ,TABLET,ORAL,TAB,0.752287,1.5305,100.0,2416502,Yes,Y,2017,2
14,7064,RALOXIFENE HYDROCHLORIDE,60MG  ,TABLET,ORAL,TAB,0.752287,1.5305,2000.0,2416507,Yes,Y,2017,2
15,7064,RALOXIFENE HYDROCHLORIDE,60MG  ,TABLET,ORAL,TAB,0.752287,1.5305,30.0,2416530,Yes,Y,2017,2
16,3229,OLANZAPINE  ,15MG  ,TABLET,ORAL,TAB,0.417584,0.730772,30.0,2441530,Yes,N,2017,2
17,3232,OLANZAPINE  ,20MG  ,TABLET,ORAL,TAB,0.503595,0.8812909999999999,30.0,2442030,Yes,N,2017,2
18,3235,OLANZAPINE  ,5MG   ,"TABLET, ORALLY DISINTEGRATING ",ORAL,TAB,1.100955,1.926671,30.0,2445301,Yes,N,2017,2
19,3235,OLANZAPINE  ,5MG   ,"TABLET, ORALLY DISINTEGRATING ",ORAL,TAB,1.100955,1.926671,30.0,2445385,Yes,N,2017,2
20,3228,OLANZAPINE  ,10MG  ,"TABLET, ORALLY DISINTEGRATING ",ORAL,TAB,1.577649,2.760886,30.0,2445401,Yes,N,2017,2
21,3228,OLANZAPINE  ,10MG  ,"TABLET, ORALLY DISINTEGRATING ",ORAL,TAB,1.577649,2.760886,30.0,2445485,Yes,N,2017,2
22,3230,OLANZAPINE  ,15MG  ,"TABLET, ORALLY DISINTEGRATING ",ORAL,TAB,2.644732,4.628280999999999,30.0,2445501,Yes,N,2017,2
